time,u,v,depth
1583921835.9340000153,414,229,3.7546274662017822266
1583921836.0460000038,414,229,3.7972939014434814453
1583921836.1649999619,414,229,3.7758402824401855469
1583921836.2869999409,414,229,3.7972939014434814453
1583921836.4049999714,414,229,3.7129094600677490234
1583921836.5260000229,414,229,3.7758402824401855469
1583921836.6459999084,414,229,3.5739238262176513672
1583921836.7650001049,414,229,3.7546274662017822266
1583921836.8849999905,414,229,3.7336521148681640625
1583921837.006000042,414,229,3.6520421504974365234
1583921837.1259999275,414,229,3.6520421504974365234
1583921837.2449998856,414,229,3.7972939014434814453
1583921837.3650000095,414,229,3.7972939014434814453
1583921837.5039999485,414,229,3.8189928531646728516
1583921837.6080000401,414,229,3.5549132823944091797
1583921837.7409999371,414,229,3.6125607490539550781
1583921837.8870000839,414,229,3.7972939014434814453
1583921837.9670000076,414,229,3.7972939014434814453
1583921838.0869998932,414,229,3.7758402824401855469
1583921838.2060000896,414,229,3.6923961639404296875
1583921838.3259999752,414,229,3.7972939014434814453
1583921838.4460000992,414,229,4.0751447677612304688
1583921838.5650000572,414,229,3.7546274662017822266
1583921838.6849999428,414,229,3.6520421504974365234
1583921838.8050000668,414,229,3.7546274662017822266
1583921838.9419999123,414,229,3.6125607490539550781
1583921839.0450000763,414,229,3.7758402824401855469
1583921839.1659998894,414,229,3.6520421504974365234
1583921839.2869999409,414,229,3.7129094600677490234
1583921839.4059998989,414,229,3.5549132823944091797
1583921839.5250000954,414,229,3.6721084117889404297
1583921839.6459999084,414,229,3.7546274662017822266
1583921839.7679998875,414,229,3.7758402824401855469
1583921839.8849999905,414,229,3.7972939014434814453
1583921840.006000042,414,229,3.5931384563446044922
1583921840.125,414,229,3.5174934864044189453
1583921840.2449998856,414,229,3.7972939014434814453
1583921840.3659999371,414,229,3.7758402824401855469
1583921840.4849998951,414,229,3.6923961639404296875
